"filename", "language", "JSON", "JavaScript", "CSS", "JavaScript JSX", "Markdown", "JSON with Comments", "comment", "blank", "total"
"c:\Users\sina\Desktop\student-resource-hub\components\templates\admin\teachers\TableSection.jsx", "JavaScript JSX", 0, 0, 0, 67, 0, 0, 0, 5, 72
"c:\Users\sina\Desktop\student-resource-hub\components\templates\teacher\courses\EidtModal.jsx", "JavaScript JSX", 0, 0, 0, 212, 0, 0, 1, 7, 220
"c:\Users\sina\Desktop\student-resource-hub\components\templates\teacher\courses\ResourceModal.jsx", "JavaScript JSX", 0, 0, 0, 109, 0, 0, 0, 8, 117
"c:\Users\sina\Desktop\student-resource-hub\components\templates\teacher\courses\TableSection.jsx", "JavaScript JSX", 0, 0, 0, 89, 0, 0, 0, 4, 93
"c:\Users\sina\Desktop\student-resource-hub\components\templates\teacher\createCourse\form.jsx", "JavaScript JSX", 0, 0, 0, 215, 0, 0, 0, 9, 224
"c:\Users\sina\Desktop\student-resource-hub\components\templates\teacher\index\chart\PieChart.jsx", "JavaScript JSX", 0, 0, 0, 62, 0, 0, 0, 4, 66
"c:\Users\sina\Desktop\student-resource-hub\components\templates\teacher\index\chart\composedChart.jsx", "JavaScript JSX", 0, 0, 0, 39, 0, 0, 0, 3, 42
"c:\Users\sina\Desktop\student-resource-hub\components\templates\user\courses\Slider\MostWanted.jsx", "JavaScript JSX", 0, 0, 0, 76, 0, 0, 2, 7, 85
"c:\Users\sina\Desktop\student-resource-hub\components\templates\user\courses\Slider\NewlyAddedCourses.jsx", "JavaScript JSX", 0, 0, 0, 77, 0, 0, 2, 7, 86
"c:\Users\sina\Desktop\student-resource-hub\components\templates\user\courses\Slider\RatedCourses.jsx", "JavaScript JSX", 0, 0, 0, 78, 0, 0, 2, 6, 86
"c:\Users\sina\Desktop\student-resource-hub\components\templates\user\courses\details\Comment.jsx", "JavaScript JSX", 0, 0, 0, 146, 0, 0, 1, 10, 157
"c:\Users\sina\Desktop\student-resource-hub\components\templates\user\courses\details\Resources.jsx", "JavaScript JSX", 0, 0, 0, 100, 0, 0, 0, 3, 103
"c:\Users\sina\Desktop\student-resource-hub\components\templates\user\courses\details\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 64, 0, 0, 0, 6, 70
"c:\Users\sina\Desktop\student-resource-hub\components\templates\user\courses\details\StarRating.jsx", "JavaScript JSX", 0, 0, 0, 72, 0, 0, 0, 8, 80
"c:\Users\sina\Desktop\student-resource-hub\components\templates\user\courses\details\VideoPlayer.jsx", "JavaScript JSX", 0, 0, 0, 64, 0, 0, 0, 5, 69
"c:\Users\sina\Desktop\student-resource-hub\components\templates\user\index\MyCourses.jsx", "JavaScript JSX", 0, 0, 0, 37, 0, 0, 0, 5, 42
"c:\Users\sina\Desktop\student-resource-hub\components\templates\user\index\SearchCourse.jsx", "JavaScript JSX", 0, 0, 0, 85, 0, 0, 0, 8, 93
"c:\Users\sina\Desktop\student-resource-hub\components\ui\button.jsx", "JavaScript JSX", 0, 0, 0, 45, 0, 0, 0, 6, 51
"c:\Users\sina\Desktop\student-resource-hub\components\ui\input.jsx", "JavaScript JSX", 0, 0, 0, 18, 0, 0, 0, 4, 22
"c:\Users\sina\Desktop\student-resource-hub\components\ui\label.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 5, 24
"c:\Users\sina\Desktop\student-resource-hub\components\ui\select.jsx", "JavaScript JSX", 0, 0, 0, 84, 0, 0, 0, 8, 92
"c:\Users\sina\Desktop\student-resource-hub\components\ui\separator.jsx", "JavaScript JSX", 0, 0, 0, 23, 0, 0, 0, 5, 28
"c:\Users\sina\Desktop\student-resource-hub\components\ui\sheet.jsx", "JavaScript JSX", 0, 0, 0, 104, 0, 0, 0, 14, 118
"c:\Users\sina\Desktop\student-resource-hub\components\ui\sidebar.jsx", "JavaScript JSX", 0, 0, 0, 618, 0, 0, 12, 53, 683
"c:\Users\sina\Desktop\student-resource-hub\components\ui\skeleton.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\sina\Desktop\student-resource-hub\components\ui\tooltip.jsx", "JavaScript JSX", 0, 0, 0, 48, 0, 0, 0, 8, 56
"c:\Users\sina\Desktop\student-resource-hub\hooks\use-mobile.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\sina\Desktop\student-resource-hub\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\sina\Desktop\student-resource-hub\lib\utils.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\sina\Desktop\student-resource-hub\middleware.js", "JavaScript", 0, 7, 0, 0, 0, 0, 28, 10, 45
"c:\Users\sina\Desktop\student-resource-hub\next.config.mjs", "JavaScript", 0, 7, 0, 0, 0, 0, 1, 2, 10
"c:\Users\sina\Desktop\student-resource-hub\package-lock.json", "JSON", 4018, 0, 0, 0, 0, 0, 0, 1, 4019
"c:\Users\sina\Desktop\student-resource-hub\package.json", "JSON", 57, 0, 0, 0, 0, 0, 0, 1, 58
"c:\Users\sina\Desktop\student-resource-hub\postcss.config.mjs", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\sina\Desktop\student-resource-hub\store\admin\useCategoryStore.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 2, 83
"c:\Users\sina\Desktop\student-resource-hub\store\admin\useCollegeStore.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 11, 90
"c:\Users\sina\Desktop\student-resource-hub\store\admin\useCourseStore.js", "JavaScript", 0, 113, 0, 0, 0, 0, 0, 4, 117
"c:\Users\sina\Desktop\student-resource-hub\store\admin\useRecourceStore.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 9, 97
"c:\Users\sina\Desktop\student-resource-hub\store\admin\useStatisticStore.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\sina\Desktop\student-resource-hub\store\admin\useTeacherStore.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 11, 90
"c:\Users\sina\Desktop\student-resource-hub\store\admin\useUsersStore.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 11, 57
"c:\Users\sina\Desktop\student-resource-hub\store\common\useAuthStore.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 8, 57
"c:\Users\sina\Desktop\student-resource-hub\store\common\useErrorStore.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\sina\Desktop\student-resource-hub\store\common\useLoadingStore.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\sina\Desktop\student-resource-hub\store\user\useCourseDetailsStore.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 4, 87
"c:\Users\sina\Desktop\student-resource-hub\store\user\useCourseStore.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 13, 93
"c:\Users\sina\Desktop\student-resource-hub\store\user\useResouceStore.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 3, 47
"c:\Users\sina\Desktop\student-resource-hub\utils\inputFileUtils.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\sina\Desktop\student-resource-hub\utils\modalUtils.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\sina\Desktop\student-resource-hub\utils\specifyTypeFile.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 5, 27
"Total", "-", 4099, 1047, 155, 5287, 23, 7, 63, 587, 11268
